model_size,checkpoint_step,n_words_correlated,layer_num,method,id
6.9b,0,2,13,pr,92.68967626978608
6.9b,0,2,13,2nn,32.07884524771174
6.9b,0,2,13,pca_ratio_099,2821.0
6.9b,0,2,14,mle,25.247612307199184
6.9b,0,2,14,pca,23.0
6.9b,0,2,14,pr,94.59018254876496
6.9b,0,2,14,2nn,31.633729640628527
6.9b,0,2,14,pca_ratio_099,2822.0
6.9b,0,2,15,mle,25.240608133521125
6.9b,0,2,15,pca,26.0
6.9b,0,2,15,pr,97.15907659841922
6.9b,0,2,15,2nn,31.150126635496704
6.9b,0,2,15,pca_ratio_099,2825.0
6.9b,0,2,16,mle,25.23370109081572
6.9b,0,2,16,pca,28.0
6.9b,0,2,16,pr,99.33915822121595
6.9b,0,2,16,2nn,30.721890652837363
6.9b,0,2,16,pca_ratio_099,2827.0
6.9b,0,2,17,mle,25.232580635587738
6.9b,0,2,17,pca,29.0
6.9b,0,2,17,pr,101.1547056714674
6.9b,0,2,17,2nn,30.238668324490167
6.9b,0,2,17,pca_ratio_099,2830.0
6.9b,0,2,18,mle,25.225583507348308
6.9b,0,2,18,pca,32.0
6.9b,0,2,18,pr,103.6029135827256
6.9b,0,2,18,2nn,29.935870855265453
6.9b,0,2,18,pca_ratio_099,2831.0
6.9b,0,2,19,mle,25.25053013463524
6.9b,0,2,19,pca,34.0
6.9b,0,2,19,pr,105.72826738898073
6.9b,0,2,19,2nn,29.433144384935986
6.9b,0,2,19,pca_ratio_099,2832.0
6.9b,0,2,20,mle,25.20405999222708
6.9b,0,2,20,pca,33.0
6.9b,0,2,20,pr,107.3341229447736
6.9b,0,2,20,2nn,28.99151756723095
6.9b,0,2,20,pca_ratio_099,2834.0
6.9b,0,2,21,mle,25.111325921582807
6.9b,0,2,21,pca,34.0
6.9b,0,2,21,pr,109.16258977295357
6.9b,0,2,21,2nn,28.64908214481847
6.9b,0,2,21,pca_ratio_099,2835.0
6.9b,0,2,22,mle,25.06334587694052
6.9b,0,2,22,pca,35.0
6.9b,0,2,22,pr,110.96309945588511
6.9b,0,2,22,2nn,28.34502470547424
6.9b,0,2,22,pca_ratio_099,2835.0
6.9b,0,2,23,mle,25.07409613653929
6.9b,0,2,23,pca,36.0
6.9b,0,2,23,pr,112.9033172612873
6.9b,0,2,23,2nn,28.12869687750532
6.9b,0,2,23,pca_ratio_099,2836.0
6.9b,0,2,24,mle,25.07612298223976
6.9b,0,2,24,pca,37.0
6.9b,0,2,24,pr,114.34432510851909
6.9b,0,2,24,2nn,27.82457350598423
6.9b,0,2,24,pca_ratio_099,2837.0
6.9b,0,2,25,mle,25.058472440620488
6.9b,0,2,25,pca,38.0
6.9b,0,2,25,pr,116.36345358526492
6.9b,0,2,25,2nn,27.54548919590641
6.9b,0,2,25,pca_ratio_099,2837.0
6.9b,0,2,26,mle,25.05611646255292
6.9b,0,2,26,pca,38.0
6.9b,0,2,26,pr,117.51142813498538
6.9b,0,2,26,2nn,27.230497042909995
6.9b,0,2,26,pca_ratio_099,2837.0
6.9b,0,2,27,mle,25.02021634344416
6.9b,0,2,27,pca,39.0
6.9b,0,2,27,pr,118.37254902110504
6.9b,0,2,27,2nn,26.933313378643465
6.9b,0,2,27,pca_ratio_099,2837.0
6.9b,0,2,28,mle,25.071236383209428
6.9b,0,2,28,pca,38.0
6.9b,0,2,28,pr,119.33843428592742
6.9b,0,2,28,2nn,26.62388371622288
6.9b,0,2,28,pca_ratio_099,2837.0
6.9b,0,2,29,mle,25.04508927587312
6.9b,0,2,29,pca,38.0
6.9b,0,2,29,pr,119.64829992108412
6.9b,0,2,29,2nn,26.25282621316468
6.9b,0,2,29,pca_ratio_099,2836.0
6.9b,0,2,30,mle,25.06388640530642
6.9b,0,2,30,pca,39.0
6.9b,0,2,30,pr,120.8305419463263
6.9b,0,2,30,2nn,25.98791713373081
6.9b,0,2,30,pca_ratio_099,2836.0
6.9b,0,2,31,mle,25.15536332264045
6.9b,0,2,31,pca,37.0
6.9b,0,2,31,pr,120.64367726900284
6.9b,0,2,31,2nn,25.736598010112136
6.9b,0,2,31,pca_ratio_099,2835.0
6.9b,0,3,0,mle,14.019530374599452
6.9b,0,3,0,pca,10.0
6.9b,0,3,0,pr,52.20381870119786
6.9b,0,3,0,2nn,21.19811000451724
6.9b,0,3,0,pca_ratio_099,1600.0
6.9b,0,3,1,mle,17.130116716209216
6.9b,0,3,1,pca,11.0
6.9b,0,3,1,pr,59.333975165135584
6.9b,0,3,1,2nn,25.41555985237108
6.9b,0,3,1,pca_ratio_099,2309.0
6.9b,0,3,2,mle,18.89730682805044
6.9b,0,3,2,pca,13.0
6.9b,0,3,2,pr,64.61225794696969
6.9b,0,3,2,2nn,27.91547303664669
6.9b,0,3,2,pca_ratio_099,2530.0
6.9b,0,3,3,mle,19.895533803950705
6.9b,0,3,3,pca,13.0
6.9b,0,3,3,pr,68.92677049708541
6.9b,0,3,3,2nn,29.607523951163607
6.9b,0,3,3,pca_ratio_099,2631.0
6.9b,0,3,4,mle,20.65158402370885
6.9b,0,3,4,pca,14.0
6.9b,0,3,4,pr,72.76994869627354
6.9b,0,3,4,2nn,30.3339004034276
6.9b,0,3,4,pca_ratio_099,2687.0
6.9b,0,3,5,mle,21.121319834171167
6.9b,0,3,5,pca,15.0
6.9b,0,3,5,pr,76.35949536015801
6.9b,0,3,5,2nn,30.756418128579583
6.9b,0,3,5,pca_ratio_099,2720.0
6.9b,0,3,6,mle,21.509572072504064
6.9b,0,3,6,pca,18.0
6.9b,0,3,6,pr,79.92667952790251
6.9b,0,3,6,2nn,30.56560800527604
6.9b,0,3,6,pca_ratio_099,2743.0
6.9b,0,3,7,mle,21.814488505279897
6.9b,0,3,7,pca,19.0
6.9b,0,3,7,pr,83.12427594176079
6.9b,0,3,7,2nn,30.337662475333595
6.9b,0,3,7,pca_ratio_099,2760.0
6.9b,0,3,8,mle,22.01162986318884
6.9b,0,3,8,pca,21.0
6.9b,0,3,8,pr,86.0588931618401
6.9b,0,3,8,2nn,30.01958697397265
6.9b,0,3,8,pca_ratio_099,2771.0
6.9b,0,3,9,mle,22.16042674784465
6.9b,0,3,9,pca,22.0
6.9b,0,3,9,pr,88.67961868879117
6.9b,0,3,9,2nn,29.64287849439221
6.9b,0,3,9,pca_ratio_099,2782.0
6.9b,0,3,10,mle,22.273495294656865
6.9b,0,3,10,pca,23.0
6.9b,0,3,10,pr,91.47319422899908
6.9b,0,3,10,2nn,29.277395650163943
6.9b,0,3,10,pca_ratio_099,2787.0
6.9b,0,3,11,mle,22.346355883176653
6.9b,0,3,11,pca,25.0
6.9b,0,3,11,pr,93.7209811445292
6.9b,0,3,11,2nn,28.91084963758129
6.9b,0,3,11,pca_ratio_099,2792.0
6.9b,0,3,12,mle,22.41983519623698
6.9b,0,3,12,pca,26.0
6.9b,0,3,12,pr,95.98296595202817
6.9b,0,3,12,2nn,28.486177617488043
6.9b,0,3,12,pca_ratio_099,2798.0
6.9b,0,3,13,mle,22.47468608623641
6.9b,0,3,13,pca,27.0
6.9b,0,3,13,pr,98.42885317487212
6.9b,0,3,13,2nn,28.06104648564112
6.9b,0,3,13,pca_ratio_099,2802.0
6.9b,0,3,14,mle,22.529792675973543
6.9b,0,3,14,pca,28.0
6.9b,0,3,14,pr,100.3831358450651
6.9b,0,3,14,2nn,27.664325155370253
6.9b,0,3,14,pca_ratio_099,2804.0
6.9b,0,3,15,mle,22.56489034335992
6.9b,0,3,15,pca,31.0
6.9b,0,3,15,pr,103.13226691247586
6.9b,0,3,15,2nn,27.264781284992807
6.9b,0,3,15,pca_ratio_099,2807.0
6.9b,0,3,16,mle,22.62370008489697
6.9b,0,3,16,pca,32.0
6.9b,0,3,16,pr,105.4237001558518
6.9b,0,3,16,2nn,26.999618118486865
6.9b,0,3,16,pca_ratio_099,2809.0
6.9b,0,3,17,mle,22.637374984805337
6.9b,0,3,17,pca,33.0
6.9b,0,3,17,pr,107.36854473063823
6.9b,0,3,17,2nn,26.69807594404542
6.9b,0,3,17,pca_ratio_099,2812.0
6.9b,0,3,18,mle,22.634719501268048
6.9b,0,3,18,pca,36.0
6.9b,0,3,18,pr,109.98571748481145
6.9b,0,3,18,2nn,26.445668320675992
6.9b,0,3,18,pca_ratio_099,2814.0
6.9b,0,3,19,mle,22.66517294283509
6.9b,0,3,19,pca,37.0
6.9b,0,3,19,pr,112.36451713113438
6.9b,0,3,19,2nn,26.157084930353893
6.9b,0,3,19,pca_ratio_099,2816.0
6.9b,0,3,20,mle,22.708561023890045
6.9b,0,3,20,pca,37.0
6.9b,0,3,20,pr,114.00961882053916
6.9b,0,3,20,2nn,25.85436119646115
6.9b,0,3,20,pca_ratio_099,2817.0
6.9b,0,3,21,mle,22.68901147177276
6.9b,0,3,21,pca,38.0
6.9b,0,3,21,pr,115.87098869586696
6.9b,0,3,21,2nn,25.61467155468288
6.9b,0,3,21,pca_ratio_099,2819.0
6.9b,0,3,22,mle,22.73680262174104
6.9b,0,3,22,pca,39.0
6.9b,0,3,22,pr,117.69496561397196
6.9b,0,3,22,2nn,25.353223733665445
6.9b,0,3,22,pca_ratio_099,2820.0
6.9b,0,3,23,mle,22.75496350680202
6.9b,0,3,23,pca,40.0
6.9b,0,3,23,pr,119.71837861924487
6.9b,0,3,23,2nn,25.135271819141924
6.9b,0,3,23,pca_ratio_099,2821.0
6.9b,0,3,24,mle,22.79940200306137
6.9b,0,3,24,pca,41.0
