model_size,checkpoint_step,n_words_correlated,layer_num,method,id
160m,2,4,1,pca,37.0
160m,2,4,1,pr,42.57945045718338
160m,2,4,1,2nn,17.835215028068774
160m,2,4,2,mle,13.29170354134221
160m,2,4,2,pca,34.0
160m,2,4,2,pr,41.170382470056104
160m,2,4,2,2nn,18.595595152743282
160m,2,4,3,mle,13.510158280743962
160m,2,4,3,pca,38.0
160m,2,4,3,pr,43.448966558829326
160m,2,4,3,2nn,17.926431190097485
160m,2,4,4,mle,13.483320378411971
160m,2,4,4,pca,37.0
160m,2,4,4,pr,43.11693251460904
160m,2,4,4,2nn,16.9511430863728
160m,2,4,5,mle,13.365105298543893
160m,2,4,5,pca,39.0
160m,2,4,5,pr,44.596352476454015
160m,2,4,5,2nn,16.000069467506435
160m,2,4,6,mle,13.287362377146765
160m,2,4,6,pca,41.0
160m,2,4,6,pr,46.107179610979195
160m,2,4,6,2nn,15.266445420511998
160m,2,4,7,mle,13.254014154107958
160m,2,4,7,pca,44.0
160m,2,4,7,pr,47.98014969770989
160m,2,4,7,2nn,14.762545301660449
160m,2,4,8,mle,13.179720988553317
160m,2,4,8,pca,46.0
160m,2,4,8,pr,49.92450676428436
160m,2,4,8,2nn,14.326203733105409
160m,2,4,9,mle,13.147405140350939
160m,2,4,9,pca,47.0
160m,2,4,9,pr,51.796570619178055
160m,2,4,9,2nn,13.89930683940507
160m,2,4,10,mle,13.090752902930305
160m,2,4,10,pca,48.0
160m,2,4,10,pr,52.290845594287546
160m,2,4,10,2nn,13.517165041555621
160m,2,4,11,mle,13.086157842409342
160m,2,4,11,pca,51.0
160m,2,4,11,pr,54.46416815067703
160m,2,4,11,2nn,13.067019700013862
160m,64,1,0,mle,19.087738186332444
160m,64,1,0,pca,17.0
160m,64,1,0,pr,31.328493958787604
160m,64,1,0,2nn,33.91796524047416
160m,64,1,1,mle,20.107726733641233
160m,64,1,1,pca,7.0
160m,64,1,1,pr,21.03875571628078
160m,64,1,1,2nn,34.48501906224145
160m,64,1,2,mle,18.666893467440726
160m,64,1,2,pca,6.0
160m,64,1,2,pr,15.780996169738396
160m,64,1,2,2nn,30.739060022592128
160m,64,1,3,mle,17.142414561471693
160m,64,1,3,pca,6.0
160m,64,1,3,pr,13.5140152204782
160m,64,1,3,2nn,26.86891062875027
160m,64,1,4,mle,15.935075095814632
160m,64,1,4,pca,7.0
160m,64,1,4,pr,11.400900445894315
160m,64,1,4,2nn,24.61487553314403
160m,64,1,5,mle,14.906216950141554
160m,64,1,5,pca,7.0
160m,64,1,5,pr,9.998699539382448
160m,64,1,5,2nn,22.856624835991756
160m,64,1,6,mle,14.036629423043703
160m,64,1,6,pca,6.0
160m,64,1,6,pr,9.000669040699893
160m,64,1,6,2nn,21.48044383822973
160m,64,1,7,mle,13.429182365642133
160m,64,1,7,pca,6.0
160m,64,1,7,pr,8.228377878755865
160m,64,1,7,2nn,20.45315911633454
160m,64,1,8,mle,12.876642876646637
160m,64,1,8,pca,6.0
160m,64,1,8,pr,7.601853353786955
160m,64,1,8,2nn,19.599157872282525
160m,64,1,9,mle,12.427698564461444
160m,64,1,9,pca,6.0
160m,64,1,9,pr,6.9961931570894835
160m,64,1,9,2nn,18.97669433807312
160m,64,1,10,mle,12.142657102594587
160m,64,1,10,pca,6.0
160m,64,1,10,pr,6.599652387965167
160m,64,1,10,2nn,18.512695197121765
160m,64,1,11,mle,12.014537334513689
160m,64,1,11,pca,6.0
160m,64,1,11,pr,6.243275056950342
160m,64,1,11,2nn,18.450377406843053
160m,64,2,0,mle,15.553053279953403
160m,64,2,0,pca,18.0
160m,64,2,0,pr,31.85829641779914
160m,64,2,0,2nn,25.397674505590945
160m,64,2,1,mle,16.99580388441374
160m,64,2,1,pca,7.0
160m,64,2,1,pr,21.482968937849144
160m,64,2,1,2nn,28.12453245978681
160m,64,2,2,mle,16.608047971366865
160m,64,2,2,pca,6.0
160m,64,2,2,pr,16.10333904164403
160m,64,2,2,2nn,25.858037020963287
160m,64,2,3,mle,15.811228955669433
160m,64,2,3,pca,6.0
160m,64,2,3,pr,13.744593458571675
160m,64,2,3,2nn,23.6682015348132
160m,64,2,4,mle,14.876086817736656
160m,64,2,4,pca,7.0
160m,64,2,4,pr,11.56896942968554
160m,64,2,4,2nn,21.7414967233068
160m,64,2,5,mle,14.101202175464481
160m,64,2,5,pca,7.0
160m,64,2,5,pr,10.12683419908298
160m,64,2,5,2nn,20.468221800209847
160m,64,2,6,mle,13.404487706945051
160m,64,2,6,pca,6.0
160m,64,2,6,pr,9.099287753733071
160m,64,2,6,2nn,19.492152523828583
160m,64,2,7,mle,12.870922214737632
160m,64,2,7,pca,6.0
160m,64,2,7,pr,8.302252701175208
160m,64,2,7,2nn,18.747793855499207
160m,64,2,8,mle,12.409975471854802
160m,64,2,8,pca,6.0
160m,64,2,8,pr,7.656081501870786
160m,64,2,8,2nn,18.039190954651314
160m,64,2,9,mle,12.042227501257505
160m,64,2,9,pca,6.0
160m,64,2,9,pr,7.032795071870438
160m,64,2,9,2nn,17.5365693288849
160m,64,2,10,mle,11.770323784196536
160m,64,2,10,pca,6.0
160m,64,2,10,pr,6.627480713195024
160m,64,2,10,2nn,17.182364488657072
160m,64,2,11,mle,11.67477697212189
160m,64,2,11,pca,6.0
160m,64,2,11,pr,6.266593952799087
160m,64,2,11,2nn,17.036405738071764
160m,64,3,0,mle,12.97444448020511
160m,64,3,0,pca,16.0
160m,64,3,0,pr,31.680561326102683
160m,64,3,0,2nn,19.186809836534838
160m,64,3,1,mle,14.666001878541824
160m,64,3,1,pca,6.0
160m,64,3,1,pr,21.53557980347995
160m,64,3,1,2nn,22.62221677719759
160m,64,3,2,mle,14.883266716085512
160m,64,3,2,pca,6.0
160m,64,3,2,pr,16.27315668904662
160m,64,3,2,2nn,21.826195074969437
160m,64,3,3,mle,14.535981679215844
160m,64,3,3,pca,7.0
160m,64,3,3,pr,14.003555121673724
160m,64,3,3,2nn,20.29602889621811
160m,64,3,4,mle,14.004597507853504
160m,64,3,4,pca,7.0
160m,64,3,4,pr,11.804721689543454
160m,64,3,4,2nn,19.004334893630862
160m,64,3,5,mle,13.439238727302046
160m,64,3,5,pca,7.0
160m,64,3,5,pr,10.331357346240072
160m,64,3,5,2nn,17.884425260456766
160m,64,3,6,mle,12.836658633149945
160m,64,3,6,pca,7.0
160m,64,3,6,pr,9.267246777744264
160m,64,3,6,2nn,17.087112762280224
160m,64,3,7,mle,12.39870062351599
160m,64,3,7,pca,6.0
160m,64,3,7,pr,8.450426757574835
160m,64,3,7,2nn,16.612291349446398
160m,64,3,8,mle,11.9696969538883
160m,64,3,8,pca,6.0
160m,64,3,8,pr,7.80456285279883
160m,64,3,8,2nn,16.158176771845078
160m,64,3,9,mle,11.640150948502615
160m,64,3,9,pca,6.0
