model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1b,2,3,15,pca,39.0
1b,2,3,15,pr,69.5590550617936
1b,2,3,15,2nn,14.00102075954141
1b,2,4,0,mle,12.349041964335987
1b,2,4,0,pca,13.0
1b,2,4,0,pr,42.622948965732895
1b,2,4,0,2nn,12.910987119675001
1b,2,4,1,mle,14.055067541131741
1b,2,4,1,pca,13.0
1b,2,4,1,pr,42.78259642390055
1b,2,4,1,2nn,17.587035453682912
1b,2,4,2,mle,14.649448817114536
1b,2,4,2,pca,16.0
1b,2,4,2,pr,45.5970962996063
1b,2,4,2,2nn,18.39805585539433
1b,2,4,3,mle,14.848533287266307
1b,2,4,3,pca,16.0
1b,2,4,3,pr,46.0123055981126
1b,2,4,3,2nn,17.53443341829853
1b,2,4,4,mle,14.971002398045774
1b,2,4,4,pca,16.0
1b,2,4,4,pr,47.24841519529978
1b,2,4,4,2nn,16.71639195097733
1b,2,4,5,mle,14.939059923099148
1b,2,4,5,pca,19.0
1b,2,4,5,pr,49.83246741074486
1b,2,4,5,2nn,15.919134877105703
1b,2,4,6,mle,14.977032939307511
1b,2,4,6,pca,23.0
1b,2,4,6,pr,52.018592774473106
1b,2,4,6,2nn,15.257774592732227
1b,2,4,7,mle,14.981498442606325
1b,2,4,7,pca,26.0
1b,2,4,7,pr,54.53079082002172
1b,2,4,7,2nn,14.689766004224293
1b,2,4,8,mle,15.001713091630133
1b,2,4,8,pca,28.0
1b,2,4,8,pr,56.542538279146
1b,2,4,8,2nn,14.142996902509054
1b,2,4,9,mle,15.019602040035034
1b,2,4,9,pca,28.0
1b,2,4,9,pr,57.67464266615094
1b,2,4,9,2nn,13.596949762578143
1b,2,4,10,mle,15.055457161286116
1b,2,4,10,pca,29.0
1b,2,4,10,pr,59.3527004187354
1b,2,4,10,2nn,13.105931805992551
1b,2,4,11,mle,15.075536687443487
1b,2,4,11,pca,29.0
1b,2,4,11,pr,60.9164496873432
1b,2,4,11,2nn,12.750773666338976
1b,2,4,12,mle,15.042008722943985
1b,2,4,12,pca,30.0
1b,2,4,12,pr,62.161524084563986
1b,2,4,12,2nn,12.381614270724317
1b,2,4,13,mle,15.091099686783691
1b,2,4,13,pca,32.0
1b,2,4,13,pr,63.60045181898008
1b,2,4,13,2nn,12.109008792869274
1b,2,4,14,mle,15.126136789834831
