model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1b,0,4,13,2nn,15.14361116621328
1b,0,4,14,mle,9.662630263109143
1b,0,4,14,pca,122.0
1b,0,4,14,pr,82.26891081067288
1b,0,4,14,2nn,15.052822097004613
1b,0,4,15,mle,9.654767087431058
1b,0,4,15,pca,121.0
1b,0,4,15,pr,81.56634535158408
1b,0,4,15,2nn,14.986793999209912
1b,2,1,0,mle,43.06027965262818
1b,2,1,0,pca,207.0
1b,2,1,0,pr,175.4069075062223
1b,2,1,0,2nn,42.09084968500372
1b,2,1,1,mle,45.88560018767811
1b,2,1,1,pca,228.0
1b,2,1,1,pr,199.20683143352556
1b,2,1,1,2nn,45.26313733111827
1b,2,1,2,mle,43.65637909600524
1b,2,1,2,pca,223.0
1b,2,1,2,pr,199.75638630224978
1b,2,1,2,2nn,42.87434362643463
1b,2,1,3,mle,41.40469978167293
1b,2,1,3,pca,223.0
1b,2,1,3,pr,196.90333769015723
1b,2,1,3,2nn,40.10802247828231
1b,2,1,4,mle,39.604138248726265
1b,2,1,4,pca,229.0
1b,2,1,4,pr,193.99244298330456
1b,2,1,4,2nn,38.58763531928387
1b,2,1,5,mle,37.833888096176
1b,2,1,5,pca,233.0
1b,2,1,5,pr,191.04644150594848
1b,2,1,5,2nn,37.107597559888255
1b,2,1,6,mle,36.592704349559746
1b,2,1,6,pca,233.0
1b,2,1,6,pr,187.9966302055481
1b,2,1,6,2nn,36.165532347073
1b,2,1,7,mle,35.61495833305909
1b,2,1,7,pca,231.0
1b,2,1,7,pr,184.57667770466003
1b,2,1,7,2nn,35.15561189273515
1b,2,1,8,mle,34.81634095391935
1b,2,1,8,pca,232.0
1b,2,1,8,pr,182.10443033950307
1b,2,1,8,2nn,34.62681891777522
1b,2,1,9,mle,34.243475941233555
1b,2,1,9,pca,227.0
1b,2,1,9,pr,179.3915742615637
1b,2,1,9,2nn,34.33270805211948
1b,2,1,10,mle,33.6216535867053
1b,2,1,10,pca,226.0
1b,2,1,10,pr,177.42019241951306
1b,2,1,10,2nn,33.98964043374852
1b,2,1,11,mle,33.04852259660455
1b,2,1,11,pca,226.0
1b,2,1,11,pr,175.2092836799107
1b,2,1,11,2nn,33.23916080534205
1b,2,1,12,mle,32.65606373430849
1b,2,1,12,pca,225.0
1b,2,1,12,pr,173.18735076409973
1b,2,1,12,2nn,32.76648041673284
1b,2,1,13,mle,32.2293179927909
1b,2,1,13,pca,222.0
1b,2,1,13,pr,171.21246195650787
1b,2,1,13,2nn,32.26264928252406
1b,2,1,14,mle,31.849560123596653
1b,2,1,14,pca,219.0
1b,2,1,14,pr,169.1691411039049
1b,2,1,14,2nn,31.93610480703912
1b,2,1,15,mle,31.52093188406084
1b,2,1,15,pca,220.0
1b,2,1,15,pr,167.54230485262582
1b,2,1,15,2nn,31.828239709943244
