model_size,checkpoint_step,n_words_correlated,layer_num,method,id
160m,2,1,4,2nn,38.12198545279458
160m,2,1,5,mle,37.59750225271706
160m,2,1,5,pca,143.0
160m,2,1,5,pr,115.1893512777139
160m,2,1,5,2nn,36.389699844395565
160m,2,1,6,mle,36.51939624883197
160m,2,1,6,pca,141.0
160m,2,1,6,pr,112.3107443089396
160m,2,1,6,2nn,35.01899651605859
160m,2,1,7,mle,35.57494535706375
160m,2,1,7,pca,136.0
160m,2,1,7,pr,109.5132016453551
160m,2,1,7,2nn,34.16859057821456
160m,2,1,8,mle,34.833167866232706
160m,2,1,8,pca,134.0
160m,2,1,8,pr,107.10731285247516
160m,2,1,8,2nn,33.6491045337184
160m,2,1,9,mle,34.14551120855674
160m,2,1,9,pca,132.0
160m,2,1,9,pr,105.03672219736109
160m,2,1,9,2nn,33.070240362479844
160m,2,1,10,mle,33.637858377834306
160m,2,1,10,pca,134.0
160m,2,1,10,pr,103.80399018671673
160m,2,1,10,2nn,32.88543904337823
160m,2,1,11,mle,33.089329207573
160m,2,1,11,pca,131.0
160m,2,1,11,pr,101.96021678638662
160m,2,1,11,2nn,32.399328409953426
160m,2,2,0,mle,28.20165569695425
160m,2,2,0,pca,140.0
160m,2,2,0,pr,107.03149046269722
160m,2,2,0,2nn,25.64030277245902
160m,2,2,1,mle,27.814110911916092
160m,2,2,1,pca,139.0
160m,2,2,1,pr,110.20205988714719
160m,2,2,1,2nn,25.31021079907578
160m,2,2,2,mle,25.32395867319027
160m,2,2,2,pca,130.0
160m,2,2,2,pr,104.197806714276
160m,2,2,2,2nn,24.099687682700928
160m,2,2,3,mle,23.885463514924304
160m,2,2,3,pca,131.0
160m,2,2,3,pr,99.88391871835024
160m,2,2,3,2nn,23.037744535246848
160m,2,2,4,mle,22.96148283886129
160m,2,2,4,pca,125.0
160m,2,2,4,pr,95.5802084517979
160m,2,2,4,2nn,22.38178736152217
160m,2,2,5,mle,22.384908604959367
160m,2,2,5,pca,122.0
160m,2,2,5,pr,91.84751866101905
160m,2,2,5,2nn,22.010723041105063
160m,2,2,6,mle,21.878744265985887
160m,2,2,6,pca,123.0
160m,2,2,6,pr,89.95934140743532
160m,2,2,6,2nn,21.546829994286977
160m,2,2,7,mle,21.590692886331613
160m,2,2,7,pca,122.0
160m,2,2,7,pr,87.62733981685383
160m,2,2,7,2nn,21.322383003253332
160m,2,2,8,mle,21.383980984441727
160m,2,2,8,pca,120.0
160m,2,2,8,pr,85.89208850147988
160m,2,2,8,2nn,21.059670304943342
160m,2,2,9,mle,21.159324503062233
160m,2,2,9,pca,117.0
160m,2,2,9,pr,83.79040508274987
160m,2,2,9,2nn,20.658788710941717
160m,2,2,10,mle,20.995374111528076
160m,2,2,10,pca,115.0
160m,2,2,10,pr,82.83091113500618
160m,2,2,10,2nn,20.489638046086778
160m,2,2,11,mle,20.893931448828873
160m,2,2,11,pca,112.0
160m,2,2,11,pr,80.86098374288895
160m,2,2,11,2nn,20.259949666340706
160m,2,3,0,mle,18.38330991075167
160m,2,3,0,pca,127.0
160m,2,3,0,pr,92.49388650686019
160m,2,3,0,2nn,15.280137855581051
160m,2,3,1,mle,16.443084005552556
160m,2,3,1,pca,126.0
160m,2,3,1,pr,93.87002649499777
160m,2,3,1,2nn,16.165521005058714
160m,2,3,2,mle,15.266950977431534
160m,2,3,2,pca,118.0
160m,2,3,2,pr,88.91351930722796
160m,2,3,2,2nn,16.43660501332451
160m,2,3,3,mle,14.832566380511768
160m,2,3,3,pca,117.0
160m,2,3,3,pr,85.35272541843058
160m,2,3,3,2nn,16.460681671051677
160m,2,3,4,mle,14.728845181658693
160m,2,3,4,pca,111.0
160m,2,3,4,pr,81.34575676206015
160m,2,3,4,2nn,16.250027002220357
160m,2,3,5,mle,14.645106433474808
160m,2,3,5,pca,110.0
160m,2,3,5,pr,78.50696007842934
160m,2,3,5,2nn,16.075526621313188
160m,2,3,6,mle,14.484592873501802
160m,2,3,6,pca,110.0
160m,2,3,6,pr,76.8636640455828
160m,2,3,6,2nn,16.03356265191376
160m,2,3,7,mle,14.45343713964066
160m,2,3,7,pca,110.0
160m,2,3,7,pr,75.32168677194059
160m,2,3,7,2nn,16.026820714118763
160m,2,3,8,mle,14.421291261297263
160m,2,3,8,pca,107.0
160m,2,3,8,pr,73.69334668465436
160m,2,3,8,2nn,16.028623792030864
160m,2,3,9,mle,14.39104166752182
160m,2,3,9,pca,102.0
160m,2,3,9,pr,71.5623430698667
160m,2,3,9,2nn,15.937994997176952
160m,2,3,10,mle,14.419878061601493
160m,2,3,10,pca,101.0
160m,2,3,10,pr,70.4394675558568
160m,2,3,10,2nn,15.916034447534098
160m,2,3,11,mle,14.386442801538756
160m,2,3,11,pca,100.0
160m,2,3,11,pr,69.10410521294123
160m,2,3,11,2nn,15.796417635316214
160m,2,4,0,mle,10.47417750661936
160m,2,4,0,pca,111.0
160m,2,4,0,pr,79.27759001429087
160m,2,4,0,2nn,16.179662507316728
160m,2,4,1,mle,10.146977231009641
160m,2,4,1,pca,111.0
160m,2,4,1,pr,80.91021142075967
160m,2,4,1,2nn,18.13024392648075
160m,2,4,2,mle,10.299253943192767
160m,2,4,2,pca,107.0
160m,2,4,2,pr,77.11887182497826
160m,2,4,2,2nn,17.0648700342194
160m,2,4,3,mle,10.315125550946457
160m,2,4,3,pca,107.0
160m,2,4,3,pr,74.55792144896516
160m,2,4,3,2nn,16.64757551101177
160m,2,4,4,mle,10.36652502281716
160m,2,4,4,pca,104.0
160m,2,4,4,pr,71.74382888762757
160m,2,4,4,2nn,16.329553629980683
160m,2,4,5,mle,10.375126770540778
160m,2,4,5,pca,103.0
160m,2,4,5,pr,69.11287779444055
160m,2,4,5,2nn,16.158847232204998
160m,2,4,6,mle,10.363604923429188
160m,2,4,6,pca,100.0
160m,2,4,6,pr,67.58219120983064
160m,2,4,6,2nn,15.911855542860119
160m,2,4,7,mle,10.361720269093146
160m,2,4,7,pca,98.0
160m,2,4,7,pr,66.06957396740124
160m,2,4,7,2nn,15.614182542075467
160m,2,4,8,mle,10.386248543701559
160m,2,4,8,pca,95.0
160m,2,4,8,pr,64.98932782340755
160m,2,4,8,2nn,15.578803877896757
160m,2,4,9,mle,10.381997511459021
160m,2,4,9,pca,94.0
160m,2,4,9,pr,63.664495912975966
160m,2,4,9,2nn,15.46428126352903
160m,2,4,10,mle,10.401314674920894
160m,2,4,10,pca,90.0
160m,2,4,10,pr,62.6552988852549
160m,2,4,10,2nn,15.276730611096763
160m,2,4,11,mle,10.411401361809167
160m,2,4,11,pca,88.0
160m,2,4,11,pr,61.73922382663941
160m,2,4,11,2nn,15.093360364849785
160m,64,1,0,mle,42.31896067292315
160m,64,1,0,pca,168.0
160m,64,1,0,pr,132.5916546018226
160m,64,1,0,2nn,42.9501239056638
160m,64,1,1,mle,44.00318540049166
160m,64,1,1,pca,172.0
160m,64,1,1,pr,137.94441163143296
160m,64,1,1,2nn,44.21099993883673
160m,64,1,2,mle,41.93626290715445
160m,64,1,2,pca,164.0
160m,64,1,2,pr,127.7882752166117
160m,64,1,2,2nn,41.862458055324694
160m,64,1,3,mle,39.29688226266575
160m,64,1,3,pca,143.0
160m,64,1,3,pr,113.53322863121934
160m,64,1,3,2nn,38.81838597408912
160m,64,1,4,mle,37.12424522075511
160m,64,1,4,pca,112.0
160m,64,1,4,pr,97.10657420002342
160m,64,1,4,2nn,36.66423213632322
160m,64,1,5,mle,35.55354707971065
160m,64,1,5,pca,94.0
160m,64,1,5,pr,83.98184099749191
160m,64,1,5,2nn,35.20068069758516
160m,64,1,6,mle,34.36984076788412
160m,64,1,6,pca,75.0
160m,64,1,6,pr,70.56541473840733
160m,64,1,6,2nn,33.72519722320914
160m,64,1,7,mle,33.495450798913474
160m,64,1,7,pca,62.0
160m,64,1,7,pr,59.85618161217699
160m,64,1,7,2nn,32.67116619214426
160m,64,1,8,mle,32.786544179213905
160m,64,1,8,pca,53.0
160m,64,1,8,pr,51.47511304472924
160m,64,1,8,2nn,32.22897248772679
160m,64,1,9,mle,32.22016483938231
160m,64,1,9,pca,46.0
160m,64,1,9,pr,44.447825110208754
160m,64,1,9,2nn,31.602774514699064
160m,64,1,10,mle,31.796581933156332
160m,64,1,10,pca,41.0
160m,64,1,10,pr,39.90724902024383
160m,64,1,10,2nn,31.345697364371976
160m,64,1,11,mle,31.59108808034287
160m,64,1,11,pca,37.0
160m,64,1,11,pr,37.22043906149044
160m,64,1,11,2nn,31.234732718510557
160m,64,2,0,mle,28.111773298311547
160m,64,2,0,pca,141.0
160m,64,2,0,pr,106.87315696981231
160m,64,2,0,2nn,25.56022908312657
160m,64,2,1,mle,27.5458982256343
160m,64,2,1,pca,143.0
160m,64,2,1,pr,109.91483780078657
160m,64,2,1,2nn,25.218441969952455
160m,64,2,2,mle,24.74755302931478
160m,64,2,2,pca,138.0
160m,64,2,2,pr,101.83663691589864
160m,64,2,2,2nn,23.762198083057445
160m,64,2,3,mle,22.984996923437443
160m,64,2,3,pca,123.0
160m,64,2,3,pr,91.45757526341171
160m,64,2,3,2nn,22.541579106582077
160m,64,2,4,mle,22.066193441521957
160m,64,2,4,pca,99.0
160m,64,2,4,pr,79.79660942720984
160m,64,2,4,2nn,21.64585441524502
160m,64,2,5,mle,21.496633521844966
160m,64,2,5,pca,86.0
160m,64,2,5,pr,70.25195503256455
160m,64,2,5,2nn,20.935064241115416
160m,64,2,6,mle,21.147443175198646
160m,64,2,6,pca,70.0
160m,64,2,6,pr,60.41691879368699
160m,64,2,6,2nn,20.540090052794785
160m,64,2,7,mle,20.900366756022734
160m,64,2,7,pca,60.0
160m,64,2,7,pr,52.35723833872455
160m,64,2,7,2nn,20.062872533284057
160m,64,2,8,mle,20.757266877135127
160m,64,2,8,pca,52.0
160m,64,2,8,pr,45.65075722023654
160m,64,2,8,2nn,19.666596489038387
160m,64,2,9,mle,20.640471772969967
160m,64,2,9,pca,44.0
160m,64,2,9,pr,39.83601321962738
160m,64,2,9,2nn,19.425994090028613
160m,64,2,10,mle,20.542690678492193
160m,64,2,10,pca,40.0
160m,64,2,10,pr,36.161354544961355
160m,64,2,10,2nn,19.272414257486872
160m,64,2,11,mle,20.485243934847535
160m,64,2,11,pca,38.0
160m,64,2,11,pr,33.99295020829971
160m,64,2,11,2nn,19.114942825096946
160m,64,3,0,mle,18.33373090107286
160m,64,3,0,pca,127.0
160m,64,3,0,pr,92.25192649019516
160m,64,3,0,2nn,15.268856074656346
160m,64,3,1,mle,16.233867506029664
160m,64,3,1,pca,129.0
160m,64,3,1,pr,93.82944312270632
160m,64,3,1,2nn,16.09703831289072
160m,64,3,2,mle,15.008597850861225
160m,64,3,2,pca,123.0
160m,64,3,2,pr,86.99191790554354
160m,64,3,2,2nn,16.353479327897467
160m,64,3,3,mle,14.571563273097482
160m,64,3,3,pca,109.0
160m,64,3,3,pr,78.64411187171943
160m,64,3,3,2nn,16.356662108728052
160m,64,3,4,mle,14.493471228868055
160m,64,3,4,pca,90.0
160m,64,3,4,pr,68.83737360140512
160m,64,3,4,2nn,16.129185032146196
160m,64,3,5,mle,14.500690335770932
160m,64,3,5,pca,76.0
160m,64,3,5,pr,60.86267405080241
160m,64,3,5,2nn,15.866552072882799
160m,64,3,6,mle,14.497423443237151
160m,64,3,6,pca,63.0
160m,64,3,6,pr,51.96037388771001
160m,64,3,6,2nn,15.523752195755499
160m,64,3,7,mle,14.564549687047872
160m,64,3,7,pca,55.0
160m,64,3,7,pr,45.33061777086721
160m,64,3,7,2nn,15.24997769901581
160m,64,3,8,mle,14.634052788439737
160m,64,3,8,pca,48.0
160m,64,3,8,pr,40.00154343546313
160m,64,3,8,2nn,15.079356062546857
160m,64,3,9,mle,14.719422950244276
160m,64,3,9,pca,41.0
160m,64,3,9,pr,35.40671101002113
160m,64,3,9,2nn,14.735779722779364
160m,64,3,10,mle,14.80424286754339
160m,64,3,10,pca,39.0
160m,64,3,10,pr,32.297872578780066
160m,64,3,10,2nn,14.568893452438788
160m,64,3,11,mle,14.878354451312177
160m,64,3,11,pca,35.0
160m,64,3,11,pr,30.14498502670829
160m,64,3,11,2nn,14.498544613913362
160m,64,4,0,mle,10.470088582441923
160m,64,4,0,pca,112.0
160m,64,4,0,pr,79.06731795200338
160m,64,4,0,2nn,16.15574041350161
160m,64,4,1,mle,10.129887725239133
160m,64,4,1,pca,115.0
160m,64,4,1,pr,80.54600146116238
160m,64,4,1,2nn,18.151242974547856
160m,64,4,2,mle,10.242286058613727
160m,64,4,2,pca,111.0
160m,64,4,2,pr,74.92708984643403
160m,64,4,2,2nn,17.213140781899966
160m,64,4,3,mle,10.271862932580179
160m,64,4,3,pca,98.0
160m,64,4,3,pr,68.06567108141135
160m,64,4,3,2nn,16.369978772102048
160m,64,4,4,mle,10.342419713763299
160m,64,4,4,pca,84.0
160m,64,4,4,pr,60.96040777768787
